categoria,tema,promessa,resumo,textoEvidencia,linkPromessa,status,textoLightbox,leiaMais,id
administracao,Administração,Aprovar o novo Plano Diretor de Aracaju com ampla discussão com a sociedade,Promover discussão junto à comunidade sobre o Plano Diretor e aprová-lo.,"Promessa consta de entrevista, em novembro de 2020, e do plano de governo.",https://g1.globo.com/se/sergipe/eleicoes/2020/noticia/2020/11/24/edvaldo-candidato-a-prefeitura-de-aracaju-e-entrevistado-no-se2.ghtml,em-parte,"O novo Plano Diretor ainda não foi apresentado ao Conselho Municipal de Desenvolvimento Urbano (Condurb) nem votado na Câmara Municipal. Portanto, ainda não foi aprovado. A previsão, segundo a prefeitura, é que isso ocorra no 1º semestre de 2022. A promessa foi cumprida em parte, porém, porque as discussões sobre o novo Plano Diretor avançaram no primeiro ano do mandato, em 2021. Foram realizadas oito audiências públicas contemplando todas as regiões da capital, com a participação presencial de 1.336 pessoas, que registraram 149 contribuições verbais e 48 por escrito. Além disso, o projeto ficou disponível na internet para contribuições online de 13 de agosto de 2021 a 15 de outubro de 2021. Nesse período, foram registrados 11.579 acessos e 437 contribuições. Após essas audiências, o novo Plano Diretor está na fase de avaliação das contribuições.",https://www.aracaju.se.gov.br/noticias/92873/plano_diretor_sugestoes_da_populacao_serao_avaliadas_por_equipe_tecnica_da_prefeitura.html,1
administracao,Administração,Instituir o Banco de Empregos – Jovem Aprendiz e Profissional do Futuro,O serviço vai ofertar ferramentas para conhecer expectativas e demandas profissionais.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,em-parte,"O Banco de Empregos – Jovem Aprendiz e Profissional do Futuro foi criado em 2021 dentro da Fundação Municipal de Formação para o Trabalho (Fundat). Segundo a prefeitura, a meta para 2022 é aprimorá-lo, com a inserção de novas ferramentas de atuação e ofertas de mais vagas.",,2
administracao,Administração,Criar espaço de coworking para profissionais sem formalização,Ofertar espaço de coworking (Caju-Work) para profissionais sem formalização que não têm condições de investir numa infraestrutura mínima para iniciar seu negócio.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"Ainda não há um espaço de coworking para profissionais sem formalização. A prefeitura diz que a Fundação Municipal de Formação para o Trabalho vai abrir um espaço colaborativo para receber empreendedores da capital até o fim do mandato, em 2024.",,3
saude,Saúde,Implantar o Programa de Atenção Integral à Saúde da Mulher,Ofertar programa focado na saúde da mulher.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"O Programa de Atenção Integral à Saúde da Mulher ainda não foi implantado. A prefeitura diz, porém, que são oferecidas diferentes frentes para oferta de tratamento da saúde da mulher, como, por exemplo, serviços da Rede de Atenção Primária (Reap) e o atendimento especializado da Rede de Atenção Especializada (Reae), oferecido no Centro de Especialidades Médicas Aracaju e no Centro de Atenção e Assistência à Saúde da Mulher. Nestas redes especializadas, são ofertados serviços como: dispensação de anticoncepcional; rastreamento de cânceres de colo de útero e de mama; consultas ginecológicas; mamografia, entre outros - além de acolhimento e acompanhamento de casos de violência doméstica e de ações durante o ‘Outubro Rosa’. A gestão municipal afirma ainda que as Unidades Básicas de Saúde passaram a abrir aos sábados para o atendimento das mulheres.",https://www.aracaju.se.gov.br/noticias/92799/prefeitura_abrira_ubss_aos_sabados_para_acoes_voltadas_a_saude_da_mulher.html,4
direitos-humanos-e-sociais,Direitos humanos e sociais,Instalar cozinhas comunitárias e cozinhas experimentais,"Objetivo é realizar oficinas de reaproveitamento de alimentos, com capacitação e assistência às comunidades.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A prefeitura ainda não instalou as cozinhas. Segundo a gestão municipal, foi realizado um convênio para a utilização dos equipamentos disponíveis nas unidades de qualificação profissional da Fundat. A fundação aguarda parecer técnico da Defesa Civil e da Empresa Municipal de Obras e Urbanização em relação à estrutura física do local, que poderá ser usado para o projeto, para dar andamento ao convênio.",https://www.aracaju.se.gov.br/noticias/91770/conselho_municipal_de_seguranca_alimentar_realiza_primeira_reuniao_ordinaria_da_nova_gestao.html,5
direitos-humanos-e-sociais,Direitos humanos e sociais,Implementar plano de promoção da igualdade racial,Ferramenta deve promover debate sobre a igualdade racial.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,em-parte,"O Projeto 'Aracaju sem racismo' foi lançado em maio de 2021, em solenidade online. A partir do lançamento, foram realizadas, em formato online, oficinas de ‘Sensibilização e Formação sobre Racismo Institucional’, envolvendo trabalhadores do município, com carga horária de 30 horas, e o 'Curso de Formação em História Africana, Afro-brasileira e Afro-Sergipana' para professores da rede municipal de ensino. Segundo a prefeitura, ainda não há um plano totalmente acabado. Estão sendo criados projetos que podem ser considerados etapas da elaboração de um plano final. O Aracaju Sem Racismo foi um dos passos dados em 2021.",https://www.aracaju.se.gov.br/noticias/90689/prefeitura_lanca_projeto_aracaju_sem_racismo_e_realiza_oficina_de_sensibilizacao.html,6
direitos-humanos-e-sociais,Direitos humanos e sociais,Implantar Central de Acolhimento Noturno para pessoas em situação de rua,"Ampliar o serviço da unidade Acolher, que atende pessoas em situação de rua, com a realização do acolhimento norturno.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,cumpriu,"A Central de Acolhimento Noturno foi criada em agosto de 2021 e está funcionando no Abrigo Freitas Brandão, com capacidade para 40 pessoas. O serviço funciona da seguinte forma: as pessoas interessadas procuram o Centro de Atendimento a Pessoas em situação de rua e lá passam por uma triagem (psicólogos e assistentes sociais) para serem encaminhadas à central. Na central, além do pernoite, os assistidos recebem alimentação. A prefeitura informa que atua para a ampliação do local, para que os usuários possam ter um espaço para seus animais e para material recolhido (geralmente, recicláveis).",,7
direitos-humanos-e-sociais,Direitos humanos e sociais,Criar projeto para ofertar absorvente a mulheres que não podem adquirir o produto,"Implantar projeto voltado à Pobreza menstrual, com acompanhamento de mulheres na fase menstrual por falta de acesso a absorventes moradoras de rua, mulheres encarceradas e apoio de alunas da rede de ensino.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,em-parte,"Em 23 de setembro de 2021, foi sancionada a lei 5.399 de 2021, que instituiu o projeto de combate à pobreza menstrual, voltado para a promoção de ações de saúde menstrual e para o fornecimento de absorventes. Em 25 de outubro de 2021, o prefeito publicou ainda o decreto 6.591 de 2021, que regulamenta a lei. O Projeto Florir tem como foco o combate à pobreza menstrual nas escolas de Aracaju, assegurando às 7.272 estudantes matriculadas na rede o acesso ao absorvente. No momento, o processo está em fase de licitação para a compra dos absorventes. A prefeitura informou que iniciou o projeto pelas adolescentes e avançará sobre outros grupos em vulnerabilidade, como as mulheres moradoras de rua e as mulheres encarceradas.",https://www.aracaju.se.gov.br/noticias/92828/prefeito_edvaldo_assina_decreto_que_regulamenta_a_lei_para_o_projeto_florir.html,8
educacao-e-cultura,Educação e cultura,Ofertar cursos digitais e à distância (EaD) de qualificação profissional,Ampliar o acesso da população às ações de qualificação profissional por meio de cursos EAD.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,cumpriu,"A prefeitura informou que em 2021 a Fundação Municipal de Formação Para o Trabalho (Fundat) ofertou 126 oficinais online (com 6.555 alunos capacitados) e criou dois cursos online de qualificação profissional: cuidador de idoso e recepcionista.O formato digital foi mantido mesmo com o retorno das aulas presenciais.Também foram ofertados cursos nas áreas de direito, pedagogia, saúde e administração/recursos humanos em parceria com uma faculdade da capital. ",https://www.aracaju.se.gov.br/noticias/88744/,9
educacao-e-cultura,Educação e cultura,"Implantar no ensino municipal programa de inclusão digital, robótica e automação nas escolas e nos cursos de capacitação","Levar ao ensino municipal um programa de inclusão digital, com robótica e automação nas escolas e nos cursos de capacitação.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"Ainda não há programa de inclusão digital, robótica e automação nas escolas e nos cursos de capacitação. A prefeitura diz que as tratativas com empresas especializadas na distribuição de material de robótica para as escolas estão em andamento. Segundo a gestão, o material deve ser apresentado à Secretaria Municipal de Educação de Aracaju para a análise. A implantação das aulas de robótica deve ocorrer em 2022, de acordo com a previsão da prefeitura.",,10
educacao-e-cultura,Educação e cultura,Ampliar a oferta de vagas em creche,"Atualmente a rede municipal de ensino de Aracaju conta com 46 unidades que ofertam educação infantil. Destas, 23 oferecem serviços de creche com a disponilização de 2.911 vagas em 2020.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A oferta de vagas nas creches ainda não foi ampliada. Porém, a prefeitura informou que está construindo uma nova escola municipal de educação infantil no bairro Santa Maria. A unidade poderá atender até 300 crianças, sendo 108 delas em creche. A prefeitura diz que uma escola municipal de educação infantil no Conjunto Augusto Franco, no Bairro Farolândia, será entregue no primeiro semestre de 2022. A gestão diz que a escola deve ofertar 300 vagas para crianças de 0 a 5 anos, sendo 108 delas destinadas para creches. A previsão de entrega da obra para a comunidade é em abril de 2022.",,11
educacao-e-cultura,Educação e cultura,Implantar a educação integral na rede municipal de ensino,"Ampliar o horário de acesso dos alunos aos estudos. Atualmente, Aracaju ainda não tem escola de tempo integral.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"Ainda não há educação integral na rede municipal de ensino de Aracaju. A prefeitura afirma que está construindo uma nova escola de ensino fundamental no bairro Santa Maria e que essa unidade será a primeira em tempo integral da rede municipal. Com um investimento de mais de R$ 3 milhões, a escola deve atender 300 crianças, sendo 108 delas em creche.",,12
educacao-e-cultura,Educação e cultura,Realizar editais para produção literária,Ampliar a produção literária por meio da criação de editais.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,cumpriu,"No primeiro ano do mandato, em 2021, foram lançados dois editais de produção literária por meio da Fundação Cultural Cidade de Aracaju (Funcaju), com recursos da Lei Aldir Blanc. O primeiro foi lançado dentro do Janelas para as Artes, englobando diversas linguagens e contemplando 14 escritores. O segundo edital, mais específico, foi voltado para a literatura jovem e resultou na Coleção Literarte. Realizado com recursos remanescentes da Lei Aldir Blanc, a iniciativa teve como finalidade contemplar sete projetos para publicação de livros voltados ao público jovem. Foram selecionados três escritores.",https://www.aracaju.se.gov.br/noticias/93067/funcaju_divulga_lista_preliminar_dos_selecionados_para_a_colecao_literarte.html,13
educacao-e-cultura,Educação e cultura,Criar uma feira semanal de antiguidades e artesanatos locais na Praça General Valadão,"Criar uma feira semanal de antiguidades e artesanatos locais aos sábados na Praça General Valadão, com apresentação de artistas locais.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,cumpriu,"Desde outubro de 2021, duas edições da Feira da Alfândega já foram realizadas na Praça General Valadão, no centro da capital, com espaços para as artes visuais, plásticas, para costuras criativas, sustentabilidade, comercialização de antiguidades, produtos alimentares de origem orgânica e artesanato. A prefeitura diz que a feira será retomada a partir de janeiro de 2022.","https://www.aracaju.se.gov.br/noticias/92418/programacao_cultural_do_fim_de_semana_reune_musica,_teatro,_literatura_e_feira_de_antiguidades.html",14
esporte,Esporte,Criar Lei de Incentivo Municipal para apoio aos atletas,Criar Lei de Incentivo Municipal com captação de apoios junto às empresas para aprovação de projetos de apoio aos atletas.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A prefeitura diz que, após a posse, fez uma análise e descobriu que já existe um programa com propósito similar ao da promessa. Segundo a gestão, trata-se da lei municipal 4.092 de 2011, que institui o programa Bolsa Atleta em Aracaju. Por isso, a prefeitura afirma que a lei de 2011 já atende a demanda e que não há necessidade de criação de uma nova lei. A prefeitura diz ainda que aguarda uma melhora no contexto financeiro para efetivar a retomada do apoio aos atletas.",,15
esporte,Esporte,Criar a academia virtual,Oferecer para a população o serviço de 'academia virtual' por meio de aplicativo específico e canais nas redes sociais.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,A academia virtual não foi criada. A prefeitura diz que analisa a possibilidade de assinar um Termo de Cooperação Técnica com uma universidade particular para garantir a execução do projeto a partir de fevereiro de 2022.,,16
esporte,Esporte,Criar escolinha de habilidades esportivas para atender 2 mil crianças,"Desenvolver Projeto de Escolinhas de habilidades esportivas para várias modalidades, alcançando duas mil crianças entre 6 e 15 anos.",Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A escolinha de habilidades esportivas ainda não foi criada. A prefeitura diz que a previsão é que o projeto seja iniciado no segundo semestre de 2022. Segundo a prefeitura, após a aprovação pelo Ministério da Cidadania por meio da Lei de Incentivo ao Esporte, foi criada uma comissão de captação de eventos e projetos, que está apresentando o projeto para empresas que poderão se beneficiar da Lei de Incentivo.",,17
infraestrutura,Infraestrutura,Realizar a dragagem e evitar alagamentos no bairro Jabotiana,Melhorar a situação da região para evitar alagamentos.,Promessa consta do plano de governo.,https://estaticog1.globo.com/2020/12/26/ARACAJU_-_PLANO_DE_GOVERNO_EDVALDO.pdf,nao-cumpriu-ainda,"A dragagem e as obras para evitar alagamentos no bairro Jabotiana ainda não foram feitas. Em agosto de 2021, o prefeito sancionou uma lei que autoriza o município a contratar operação de crédito, no valor de 84 milhões de dólares (o equivalente a R$ 478 milhões), junto ao Novo Banco do Desenvolvimento (NBD). Segundo a prefeitura, os recursos serão destinados, exclusivamente, para o programa ‘Cidade do Futuro’, que, entre os seus projetos, prevê a dragagem do Rio Poxim, que corta o Bairro Jabotiana. A contratação do empréstimo ainda precisa de autorizações federais, tanto junto à União quanto pelo Senado, para posterior assinatura do contrato e liberação dos recursos. Em paralelo, a prefeitura diz que já desenvolveu o diagnóstico da situação do rio e das intervenções urbanísticas necessárias para acabar com os alagamentos na região.",https://www.aracaju.se.gov.br/noticias/89831/prefeitura_de_aracaju_inicia_busca_de_recursos_para_zona_de_expansao_e_dragagem_do_rio_poxim.html,18
